date and time,file size (in kilobytes),build duration (in seconds)
9/3/2016 11:16am,4.04,0.157
9/3/2016 11:17am,4.06,0.108
9/3/2016 11:17am,4.06,0.233
9/3/2016 11:18am,4.14,0.110
9/3/2016 11:23am,7.57,0.680
9/3/2016 11:25am,4.14,0.985
9/3/2016 11:27am,4.1,0.303
9/3/2016 11:27am,4.09,0.285
9/3/2016 11:27am,4.1,0.186
9/3/2016 11:28am,4.03,0.167
9/3/2016 11:28am,3.99,0.200
9/3/2016 11:30am,4.01,0.210
9/3/2016 11:31am,4.08,0.381
9/3/2016 11:31am,4.05,0.181
9/3/2016 11:31am,4.01,0.145
9/3/2016 11:32am,3.99,0.161
9/3/2016 11:34am,3.99,0.160
9/3/2016 11:34am,3.97,0.148
9/3/2016 11:36am,4.3,0.100
9/3/2016 11:36am,4.33,0.168
9/3/2016 11:37am,4.33,0.100
9/3/2016 11:37am,4.33,0.111
9/3/2016 11:37am,4.33,0.103
9/3/2016 11:37am,4.3,0.119
9/3/2016 11:38am,4.34,0.178
9/3/2016 11:38am,4.37,0.158
9/3/2016 11:38am,4.33,0.123
9/3/2016 11:38am,4.36,0.105
9/3/2016 11:38am,4.36,0.135
9/3/2016 11:39am,4.38,0.108
9/3/2016 11:39am,4.34,0.122
9/3/2016 11:39am,4.34,0.136
9/3/2016 11:39am,4.34,0.133
9/3/2016 11:39am,4.34,0.125
9/3/2016 11:39am,4.34,0.102
9/3/2016 11:39am,4.38,0.114
9/3/2016 11:40am,4.41,0.125
9/3/2016 11:40am,4.38,0.139
9/3/2016 11:40am,4.35,0.163
9/3/2016 11:40am,4.38,0.120
9/3/2016 11:40am,4.34,0.124
9/3/2016 11:40am,4.41,0.124
9/3/2016 11:40am,4.34,0.111
9/3/2016 11:40am,4.41,0.127
9/3/2016 11:40am,4.38,0.117
9/3/2016 11:40am,4.41,0.126
9/3/2016 11:41am,4.38,0.117
9/3/2016 11:41am,4.34,0.123
9/3/2016 11:41am,4.34,0.116
9/3/2016 11:42am,4.38,0.140
9/3/2016 11:42am,4.38,0.104
9/3/2016 11:42am,4.38,0.103
9/3/2016 11:42am,4.38,0.090
9/3/2016 11:42am,4.38,0.109
9/3/2016 11:42am,4.39,0.123
9/3/2016 11:42am,4.38,0.133
9/3/2016 11:42am,4.39,0.118
9/3/2016 11:42am,4.39,0.173
9/3/2016 11:42am,4.39,0.123
9/3/2016 11:42am,4.39,0.137
9/3/2016 11:42am,4.46,0.135
9/3/2016 11:43am,4.42,0.116
9/3/2016 11:43am,4.42,0.126
9/3/2016 11:43am,4.45,0.122
9/3/2016 11:43am,4.42,0.138
9/3/2016 11:43am,4.42,0.118
9/3/2016 11:43am,4.46,0.129
9/3/2016 11:44am,4.46,0.120
9/3/2016 11:44am,4.46,0.142
9/3/2016 11:45am,4.42,0.120
9/3/2016 11:45am,4.43,0.143
9/3/2016 11:45am,4.43,0.113
9/3/2016 11:45am,4.43,0.131
9/3/2016 11:45am,4.43,0.117
9/3/2016 11:45am,4.43,0.124
9/3/2016 11:45am,4.43,0.117
9/3/2016 11:45am,4.43,0.137
9/3/2016 11:45am,4.43,0.132
9/3/2016 11:45am,4.43,0.114
9/3/2016 11:45am,4.43,0.129
9/3/2016 11:45am,4.43,0.142
9/3/2016 11:45am,4.43,0.202
9/3/2016 11:46am,4.49,0.207
9/3/2016 11:46am,4.49,0.186
9/3/2016 11:46am,4.49,0.209
9/3/2016 11:46am,4.49,0.383
9/3/2016 11:46am,4.49,0.208
9/3/2016 11:46am,4.49,0.172
9/3/2016 11:46am,4.48,0.152
9/3/2016 11:46am,4.49,0.156
9/3/2016 11:47am,4.52,0.144
9/3/2016 11:47am,4.51,0.140
9/3/2016 11:52am,4,0.191
9/3/2016 11:53am,4.04,0.111
9/3/2016 11:53am,4.04,0.151
9/3/2016 11:53am,4.04,0.141
9/3/2016 11:54am,4.15,0.142
9/3/2016 11:54am,4.13,0.119
9/3/2016 11:54am,4.1,0.114
9/3/2016 11:55am,4.07,0.098
9/3/2016 11:55am,4.15,0.137
9/3/2016 11:55am,4.15,0.100
9/3/2016 11:56am,4.15,0.141
9/3/2016 11:56am,4.15,0.130
9/3/2016 11:56am,4.15,0.160
9/3/2016 11:56am,4.15,0.135
9/3/2016 11:56am,4.15,0.137
9/3/2016 11:56am,4.15,0.128
9/3/2016 11:56am,4.15,0.124
9/3/2016 11:57am,4.26,0.148
9/3/2016 11:57am,4.27,0.160
9/3/2016 11:58am,4.25,0.138
9/3/2016 11:58am,4.25,0.132
9/3/2016 11:58am,4.25,0.158
9/3/2016 11:58am,4.25,0.124
9/3/2016 11:58am,4.25,0.123
9/3/2016 11:58am,4.25,0.133
9/3/2016 11:58am,4.25,0.135
9/3/2016 11:58am,4.25,0.139
9/3/2016 11:58am,4.25,0.134
9/3/2016 2:07pm,4.25,1.249
9/3/2016 2:09pm,4.27,0.303
9/3/2016 2:09pm,4.28,0.390
9/3/2016 2:11pm,4.25,0.363
9/3/2016 2:12pm,4.26,0.317
9/3/2016 2:12pm,4.26,0.402
9/3/2016 2:12pm,4.26,0.569
9/3/2016 2:13pm,4.25,0.360
9/3/2016 2:13pm,4.28,0.365
